dealer_id,name,location,capacity
DLR_01,Kiran Tata Motors,Mumbai,480
DLR_02,Rajpath Automobiles,Delhi,520
DLR_03,Lakshmi Motors,Chennai,410
DLR_04,Sai Krishna Motors,Hyderabad,370
DLR_05,Navneet Auto,Ahmedabad,340
DLR_06,Mahalaxmi Tata,Pune,310
DLR_07,Capital Tata Motors,Bengaluru,450
DLR_08,Heritage Automobiles,Jaipur,220
DLR_09,Eastern Motors,Kolkata,290
DLR_10,Ganga Auto,Lucknow,195
DLR_11,Indus Motors,Indore,205
DLR_12,Coastal Tata,Kochi,175
DLR_13,Narmada Automobiles,Bhopal,160
DLR_14,Royal Motors,Chandigarh,280
DLR_15,Gateway Tata,Nagpur,190
DLR_16,Sunrise Automobiles,Coimbatore,165
DLR_17,Metro Tata Motors,Noida,330
DLR_18,Himalayan Auto,Dehradun,110
DLR_19,Lake City Motors,Udaipur,95
DLR_20,Delta Automobiles,Visakhapatnam,145
