dealer_id,sku,quantity_on_hand,floorplan_interest_rate
DLR_01,PRT_0001,17,0.103
DLR_01,PRT_0002,25,0.115
DLR_01,PRT_0003,7,0.084
DLR_01,PRT_0004,14,0.083
DLR_01,PRT_0005,18,0.102
DLR_01,PRT_0006,14,0.104
DLR_01,PRT_0007,29,0.119
DLR_01,PRT_0008,25,0.093
DLR_01,PRT_0009,25,0.088
DLR_01,PRT_0010,23,0.095
DLR_01,PRT_0011,19,0.114
DLR_01,PRT_0012,18,0.118
DLR_01,PRT_0013,21,0.088
DLR_01,PRT_0014,42,0.112
DLR_01,PRT_0015,31,0.081
DLR_01,PRT_0016,18,0.087
DLR_01,PRT_0017,45,0.116
DLR_01,PRT_0018,21,0.1
DLR_01,PRT_0019,49,0.091
DLR_01,PRT_0020,29,0.111
DLR_01,PRT_0021,22,0.082
DLR_01,PRT_0022,13,0.102
DLR_01,PRT_0023,21,0.081
DLR_01,PRT_0024,41,0.082
DLR_01,PRT_0025,48,0.094
DLR_01,PRT_0026,41,0.083
DLR_01,PRT_0027,35,0.097
DLR_01,PRT_0028,39,0.103
DLR_01,PRT_0029,19,0.085
DLR_01,PRT_0030,13,0.118
DLR_01,PRT_0031,17,0.104
DLR_01,PRT_0032,20,0.108
DLR_01,PRT_0033,21,0.081
DLR_01,PRT_0034,7,0.11
DLR_01,PRT_0035,45,0.112
DLR_01,PRT_0036,18,0.115
DLR_01,PRT_0037,10,0.116
DLR_01,PRT_0038,12,0.099
DLR_01,PRT_0039,9,0.089
DLR_01,PRT_0040,11,0.106
DLR_01,PRT_0041,12,0.085
DLR_01,PRT_0042,31,0.101
DLR_01,PRT_0043,9,0.117
DLR_01,PRT_0044,48,0.118
DLR_01,PRT_0045,14,0.106
DLR_01,PRT_0046,18,0.09
DLR_01,PRT_0047,23,0.108
DLR_01,PRT_0048,37,0.105
DLR_01,PRT_0049,34,0.116
DLR_01,PRT_0050,17,0.099
DLR_01,PRT_0051,50,0.08
DLR_01,PRT_0052,8,0.101
DLR_01,PRT_0053,31,0.099
DLR_01,PRT_0054,49,0.113
DLR_01,PRT_0055,7,0.119
DLR_01,PRT_0056,6,0.094
DLR_01,PRT_0057,30,0.115
DLR_01,PRT_0058,17,0.111
DLR_01,PRT_0059,42,0.093
DLR_01,PRT_0060,49,0.1
DLR_01,PRT_0061,50,0.109
DLR_01,PRT_0062,43,0.108
DLR_01,PRT_0063,33,0.111
DLR_01,PRT_0064,26,0.111
DLR_01,PRT_0065,26,0.112
DLR_01,PRT_0066,11,0.081
DLR_01,PRT_0067,45,0.095
DLR_01,PRT_0068,50,0.11
DLR_01,PRT_0069,6,0.091
DLR_01,PRT_0070,44,0.118
DLR_01,PRT_0071,6,0.1
DLR_01,PRT_0072,7,0.115
DLR_01,PRT_0073,21,0.108
DLR_01,PRT_0074,49,0.1
DLR_01,PRT_0075,24,0.111
DLR_01,PRT_0076,14,0.111
DLR_01,PRT_0077,44,0.086
DLR_01,PRT_0078,32,0.096
DLR_01,PRT_0079,19,0.108
DLR_01,PRT_0080,19,0.116
DLR_01,PRT_0081,28,0.083
DLR_01,PRT_0082,43,0.089
DLR_01,PRT_0083,19,0.081
DLR_01,PRT_0084,48,0.095
DLR_01,PRT_0085,9,0.102
DLR_01,PRT_0086,40,0.118
DLR_01,PRT_0087,17,0.102
DLR_01,PRT_0088,17,0.108
DLR_01,PRT_0089,49,0.09
DLR_01,PRT_0090,30,0.106
DLR_01,PRT_0091,20,0.089
DLR_01,PRT_0092,34,0.1
DLR_01,PRT_0093,37,0.084
DLR_01,PRT_0094,12,0.114
DLR_01,PRT_0095,23,0.098
DLR_01,PRT_0096,42,0.116
DLR_01,PRT_0097,22,0.116
DLR_01,PRT_0098,28,0.096
DLR_01,PRT_0099,9,0.101
DLR_01,PRT_0100,14,0.109
DLR_02,PRT_0001,14,0.095
DLR_02,PRT_0002,40,0.111
DLR_02,PRT_0003,8,0.082
DLR_02,PRT_0004,11,0.088
DLR_02,PRT_0005,16,0.11
DLR_02,PRT_0006,19,0.096
DLR_02,PRT_0007,31,0.085
DLR_02,PRT_0008,44,0.115
DLR_02,PRT_0009,40,0.104
DLR_02,PRT_0010,45,0.102
DLR_02,PRT_0011,16,0.085
DLR_02,PRT_0012,6,0.102
DLR_02,PRT_0013,47,0.111
DLR_02,PRT_0014,49,0.117
DLR_02,PRT_0015,6,0.086
DLR_02,PRT_0016,37,0.089
DLR_02,PRT_0017,42,0.097
DLR_02,PRT_0018,49,0.112
DLR_02,PRT_0019,47,0.086
DLR_02,PRT_0020,44,0.091
DLR_02,PRT_0021,43,0.107
DLR_02,PRT_0022,26,0.09
DLR_02,PRT_0023,26,0.11
DLR_02,PRT_0024,50,0.109
DLR_02,PRT_0025,16,0.083
DLR_02,PRT_0026,44,0.098
DLR_02,PRT_0027,41,0.102
DLR_02,PRT_0028,32,0.107
DLR_02,PRT_0029,29,0.115
DLR_02,PRT_0030,46,0.089
DLR_02,PRT_0031,26,0.117
DLR_02,PRT_0032,27,0.117
DLR_02,PRT_0033,24,0.111
DLR_02,PRT_0034,49,0.116
DLR_02,PRT_0035,15,0.088
DLR_02,PRT_0036,5,0.117
DLR_02,PRT_0037,29,0.091
DLR_02,PRT_0038,24,0.094
DLR_02,PRT_0039,6,0.117
DLR_02,PRT_0040,13,0.084
DLR_02,PRT_0041,8,0.09
DLR_02,PRT_0042,41,0.104
DLR_02,PRT_0043,25,0.105
DLR_02,PRT_0044,30,0.116
DLR_02,PRT_0045,20,0.1
DLR_02,PRT_0046,13,0.104
DLR_02,PRT_0047,13,0.094
DLR_02,PRT_0048,21,0.108
DLR_02,PRT_0049,35,0.101
DLR_02,PRT_0050,41,0.088
DLR_02,PRT_0051,5,0.101
DLR_02,PRT_0052,36,0.087
DLR_02,PRT_0053,28,0.09
DLR_02,PRT_0054,39,0.091
DLR_02,PRT_0055,43,0.081
DLR_02,PRT_0056,41,0.113
DLR_02,PRT_0057,28,0.115
DLR_02,PRT_0058,23,0.102
DLR_02,PRT_0059,31,0.088
DLR_02,PRT_0060,32,0.081
DLR_02,PRT_0061,35,0.098
DLR_02,PRT_0062,40,0.101
DLR_02,PRT_0063,39,0.106
DLR_02,PRT_0064,10,0.107
DLR_02,PRT_0065,36,0.084
DLR_02,PRT_0066,36,0.083
DLR_02,PRT_0067,33,0.091
DLR_02,PRT_0068,49,0.109
DLR_02,PRT_0069,19,0.109
DLR_02,PRT_0070,42,0.103
DLR_02,PRT_0071,50,0.105
DLR_02,PRT_0072,28,0.094
DLR_02,PRT_0073,50,0.1
DLR_02,PRT_0074,40,0.092
DLR_02,PRT_0075,26,0.116
DLR_02,PRT_0076,42,0.117
DLR_02,PRT_0077,38,0.082
DLR_02,PRT_0078,14,0.092
DLR_02,PRT_0079,41,0.111
DLR_02,PRT_0080,6,0.119
DLR_02,PRT_0081,11,0.109
DLR_02,PRT_0082,16,0.091
DLR_02,PRT_0083,38,0.101
DLR_02,PRT_0084,21,0.102
DLR_02,PRT_0085,36,0.119
DLR_02,PRT_0086,35,0.084
DLR_02,PRT_0087,46,0.111
DLR_02,PRT_0088,17,0.087
DLR_02,PRT_0089,6,0.1
DLR_02,PRT_0090,50,0.105
DLR_02,PRT_0091,18,0.106
DLR_02,PRT_0092,47,0.1
