sku,part_name,category,unit_cost
PRT_0001,Front Brake Pads (Set),Mechanical,2969.21
PRT_0002,Rear Brake Pads (Set),Mechanical,2100.88
PRT_0003,Brake Disc Rotor - Front,Mechanical,3916.54
PRT_0004,Brake Disc Rotor - Rear,Mechanical,3301.07
PRT_0005,Clutch Plate Assembly,Mechanical,7282.4
PRT_0006,Pressure Plate,Mechanical,5686.25
PRT_0007,Clutch Release Bearing,Mechanical,2067.66
PRT_0008,Water Pump Assembly,Mechanical,2803.46
PRT_0009,Thermostat Housing,Mechanical,1416.04
PRT_0010,Timing Belt Kit,Mechanical,4122.91
PRT_0011,Drive Belt (Serpentine),Mechanical,1007.15
PRT_0012,Engine Mount - Front,Mechanical,2604.18
PRT_0013,Engine Mount - Rear,Mechanical,1887.51
PRT_0014,Suspension Strut - Front,Mechanical,6822.38
PRT_0015,Suspension Strut - Rear,Mechanical,6478.79
PRT_0016,Shock Absorber - Front,Mechanical,3851.23
PRT_0017,Shock Absorber - Rear,Mechanical,2931.62
PRT_0018,Stabilizer Bar Link,Mechanical,1694.19
PRT_0019,Ball Joint - Lower,Mechanical,2076.38
PRT_0020,Tie Rod End,Mechanical,1150.13
PRT_0021,CV Joint Boot Kit,Mechanical,1037.16
PRT_0022,Wheel Bearing Assembly,Mechanical,2966.44
PRT_0023,Exhaust Manifold Gasket,Mechanical,647.41
PRT_0024,Cylinder Head Gasket,Mechanical,3048.59
PRT_0025,Piston Ring Set,Mechanical,5230.95
PRT_0026,Engine Oil 5W-30 (4L),Consumable,1711.76
PRT_0027,Engine Oil 5W-40 (4L),Consumable,1931.21
PRT_0028,Oil Filter,Consumable,395.56
PRT_0029,Air Filter Element,Consumable,750.89
PRT_0030,Cabin Air Filter,Consumable,536.18
PRT_0031,Fuel Filter,Consumable,972.0
PRT_0032,Spark Plug (Set of 4),Consumable,1710.27
PRT_0033,Spark Plug - Iridium (Set),Consumable,2830.43
PRT_0034,Coolant (1L),Consumable,433.94
PRT_0035,Brake Fluid DOT4 (500ml),Consumable,308.34
PRT_0036,Power Steering Fluid (1L),Consumable,457.03
PRT_0037,Transmission Fluid (1L),Consumable,791.15
PRT_0038,Windshield Washer Fluid,Consumable,186.4
PRT_0039,Wiper Blade - Front (Pair),Consumable,942.24
PRT_0040,Wiper Blade - Rear,Consumable,460.44
PRT_0041,Battery 12V 65Ah,Electrical,6898.92
PRT_0042,Battery 12V 45Ah,Electrical,4145.99
PRT_0043,Alternator Assembly,Electrical,11479.62
PRT_0044,Starter Motor,Electrical,8337.67
PRT_0045,Ignition Coil Pack,Electrical,2796.6
PRT_0046,Oxygen Sensor (Lambda),Electrical,4139.27
PRT_0047,MAP Sensor,Electrical,2464.84
PRT_0048,Crankshaft Position Sensor,Electrical,1773.44
PRT_0049,Camshaft Position Sensor,Electrical,2185.48
PRT_0050,Throttle Position Sensor,Electrical,3262.13
PRT_0051,ABS Speed Sensor - Front,Electrical,2498.74
PRT_0052,ABS Speed Sensor - Rear,Electrical,2008.27
PRT_0053,Fuel Injector,Electrical,3534.35
PRT_0054,EGR Valve,Electrical,5881.18
PRT_0055,Mass Air Flow Sensor,Electrical,4282.08
PRT_0056,Radiator Fan Motor,Electrical,3717.86
PRT_0057,Horn Assembly,Electrical,612.91
PRT_0058,Headlamp Bulb H7,Electrical,374.06
PRT_0059,Headlamp Bulb H4,Electrical,251.73
PRT_0060,Tail Lamp Bulb,Electrical,115.66
PRT_0061,Fuse Box Assembly,Electrical,2064.34
PRT_0062,Side Mirror Assembly - LH,Body,5001.6
PRT_0063,Side Mirror Assembly - RH,Body,4882.01
PRT_0064,Door Handle - Outer,Body,1266.46
PRT_0065,Door Handle - Inner,Body,749.94
PRT_0066,Bumper - Front,Body,9203.8
PRT_0067,Bumper - Rear,Body,6614.74
PRT_0068,Fender - LH,Body,4642.0
PRT_0069,Fender - RH,Body,5101.03
PRT_0070,Bonnet Hinge,Body,1488.52
PRT_0071,Boot Lock Assembly,Body,2009.25
PRT_0072,Windshield Glass - Front,Body,13594.47
PRT_0073,Windshield Glass - Rear,Body,9459.74
PRT_0074,Door Seal Rubber - Front,Body,897.18
PRT_0075,Door Seal Rubber - Rear,Body,921.04
PRT_0076,Radiator Grille,Body,3099.81
PRT_0077,Mud Flap Set,Body,730.84
PRT_0078,Wheel Cover 16 inch,Body,1777.78
PRT_0079,Roof Rail (Pair),Body,4182.59
PRT_0080,Spoiler - Rear,Body,6283.12
PRT_0081,Body Side Moulding,Body,1425.77
PRT_0082,Floor Mat Set (Premium),Accessories,2043.41
PRT_0083,Seat Cover Set (Leather),Accessories,8715.69
PRT_0084,Steering Wheel Cover,Accessories,727.58
PRT_0085,Car Perfume,Accessories,339.44
PRT_0086,Phone Mount,Accessories,439.58
PRT_0087,Trunk Organizer,Accessories,1379.11
PRT_0088,Boot Carpet Mat,Accessories,902.57
PRT_0089,Door Visor Set,Accessories,1228.18
PRT_0090,Chrome Garnish Kit,Accessories,2765.23
PRT_0091,Alloy Wheel 16 inch,Accessories,6621.71
PRT_0092,Alloy Wheel 17 inch,Accessories,9551.75
PRT_0093,Tyre 205/60 R16,Accessories,6308.22
PRT_0094,Tyre 215/55 R17,Accessories,7031.87
PRT_0095,Roof Carrier,Accessories,3910.76
PRT_0096,Touch-up Paint Pen,Accessories,366.5
