vin,dealer_id,model,variant,color,days_in_inventory,status
YTJXEPQ85JSG65KXV,DLR_07,Altroz,Dark,Downtown Red,53,Available
EN93IIUC039TEX8FS,DLR_14,Nexon,Pure,Intensi-Teal,91,Critical
XPSEIMVIHCWI64CIY,DLR_19,Tiago,NRG,Daytona Grey,76,Available
3GDPPQ0Y9DOM5IGQP,DLR_02,Nexon,Fearless,Calgary White,4,Available
94874FRHOCN9J2QP8,DLR_03,Nexon,Fearless,Pure Grey,68,Aging
UT0CVS4F8CGVYIE6I,DLR_08,Altroz,XZ,Avenue White,1,Available
HZIOYKL1CQ99CHJ75,DLR_09,Tiago,XM,Midnight Plum,16,Available
XA3KX7EEDTJVZHWJR,DLR_05,Safari,Smart,Cosmic Gold,40,Available
1WJ0TPAC56T4UFEL6,DLR_16,Curvv,Smart,Daytona Grey,3,Available
5OWF75935A0L7253J,DLR_16,Safari,Accomplished,Daytona Grey,62,Available
QK2IAGL58KXO9T7E8,DLR_02,Harrier,Fearless,Daytona Grey,12,Available
LVSNUJZA7TZ0YNCXL,DLR_19,Nexon,Smart+,Calgary White,27,Available
OKEP7Y6WKTAKPUXQP,DLR_16,Punch,Accomplished,Calypso Red,38,Available
SWM31YIHAIR4COWGZ,DLR_07,Nexon,Fearless,Daytona Grey,29,Available
G8SBI4Q2Y9V86WZS3,DLR_03,Punch,Accomplished,Tornado Blue,53,Available
SWJCKJLTEIYZCOTOH,DLR_17,Tiago,XZ,Flame Red,62,Available
7KO64T026RJRNY204,DLR_17,Punch,Accomplished,Daytona Grey,10,Available
DP5GJLQM5K8P4Q0B8,DLR_20,Curvv,Pure+,Pure Grey,25,Available
WIRE8QJNV8Z2FLU7U,DLR_01,Nexon,Fearless,Flame Red,123,Aging
IZKY22UBTXCXAPRPN,DLR_05,Curvv,Accomplished,Pure Grey,32,Available
71Q3VLI7KQ1UYMRLR,DLR_07,Curvv,Smart,Pure Grey,116,Critical
8DZR1YXR2DHYLURTP,DLR_03,Punch,Adventure,Calypso Red,36,Available
GET1GHR09SKDGIGAT,DLR_05,Harrier,Adventure,Coral Red,10,Available
R5UQPGB7R3OCWBFUK,DLR_20,Nexon,Pure,Daytona Grey,45,Available
N6KVPUC8D1WJCITFO,DLR_02,Altroz,XZ,Cosmo Dark,9,Available
IJ2V2HEIFJFC2V37P,DLR_07,Harrier,Smart,Coral Red,89,Aging
V60VAIY4VA13U1GSP,DLR_04,Punch,Adventure,Daytona Grey,11,Available
LY4LYK83TQLL8OS9X,DLR_20,Nexon,Pure,Flame Red,18,Available
BJEK5RBW2ZLAOI4E8,DLR_06,Tiago,XE,Arizona Blue,47,Available
9ITN7S55J2O7S3KKV,DLR_02,Tiago,NRG,Flame Red,18,Available
TQLGZUI1B0Z3NX39R,DLR_07,Altroz,XE,Avenue White,43,Available
Q0OXFQ8MYX444NLZ1,DLR_07,Nexon,Pure,Pure Grey,66,Aging
91ZDFKBLCMPIOYGGV,DLR_01,Safari,Smart,Stardust Ash,339,Critical
QY6QKTC89K8YQK94D,DLR_11,Punch,Adventure,Orcus White,16,Available
A52960361I2HGJ11Y,DLR_05,Punch,Adventure,Tornado Blue,217,Critical
NE6LOH25NSJF678K5,DLR_02,Nexon,Pure+,Pure Grey,17,Available
2N2ATQYYV37DIA5U6,DLR_07,Safari,Smart,Daytona Grey,149,Aging
F8KRD5EQY08P0FODR,DLR_01,Nexon,Creative,Pristine White,26,Available
4DYT9MOGE4QXXVA2I,DLR_18,Punch,Pure,Meteor Bronze,16,Available
5LF6A4FEJGXAA2ILG,DLR_08,Nexon,Smart,Daytona Grey,44,Available
SDS8B25SQ8CROYR6C,DLR_13,Nexon,Pure,Calgary White,17,Available
L9TQVDZ4X1ZHQIMQO,DLR_09,Nexon,Smart,Fearless Purple,40,Available
C3DD03UVULEMX15Z8,DLR_06,Nexon,Pure+,Daytona Grey,36,Available
MUEKIPU1WYUVXYBJ1,DLR_05,Tiago,XM+,Arizona Blue,1,Available
WB0HPMNZ1UDBFWYJX,DLR_05,Curvv,Smart,Opera Blue,5,Available
KYRYBOVAKHEJLA0GN,DLR_06,Punch,Adventure,Tornado Blue,12,Available
BA75UUZPEAL2W37D4,DLR_07,Harrier,Adventure+,Orcus White,33,Available
LGSES6M033IFHV1XG,DLR_09,Nexon,Pure,Pristine White,53,Available
WW5WFCPKJCSLQC3C5,DLR_07,Harrier,Adventure,Ash Grey,63,Aging
Q3XLRFCD6MZSGIPPS,DLR_09,Safari,Pure+,Oberon Black,379,Aging
2XCDYK0X65MUFM8ZO,DLR_05,Nexon,Smart+,Pristine White,27,Available
YSAL8M1G9FK2ST0SX,DLR_18,Tiago,XM,Flame Red,82,Aging
BNZ8V12II826GYUP1,DLR_09,Safari,Pure+,Daytona Grey,135,Aging
BRN7ZSEDFQS3D6357,DLR_07,Harrier,Pure,Daytona Grey,71,Available
LDZMFB7R31QW6AHF7,DLR_06,Punch,Adventure,Tornado Blue,10,Available
XWC4RTWUZKAMUGYSM,DLR_06,Tiago,XZ,Opal White,4,Available
BNN0MCIXDU1EMMX3Y,DLR_08,Curvv,Creative,Virtual Sunrise,16,Available
BHB7S9TJ1GM25LEN6,DLR_07,Altroz,XE,Opera Blue,4,Available
7S20CV3TLCXLVPYMB,DLR_17,Harrier,Pure,Ash Grey,52,Available
OS0FB4YPEIXN8BFQN,DLR_05,Safari,Accomplished+,Orcus White,10,Available
8AGS6E1ZHWY9HECGZ,DLR_01,Punch,Pure,Calypso Red,30,Available
KFZZGNI92IRMUQ9E5,DLR_15,Altroz,Dark,Avenue White,139,Critical
ELCQSE3TV1ES53SKF,DLR_06,Nexon,Creative,Calgary White,47,Available
8JWWDXVUGW6M7B5C8,DLR_03,Curvv,Accomplished,Daytona Grey,68,Aging
6TXKI3OQYFOQMF5L9,DLR_04,Harrier,Smart,Oberon Black,54,Available
EQFB85P8637ZGF9Q5,DLR_06,Punch,Accomplished+,Tornado Blue,19,Available
BKV4YKADEJNOBBUNK,DLR_02,Punch,Adventure,Orcus White,3,Available
EDN9UNFVOBBZ2SF6F,DLR_07,Punch,Accomplished,Daytona Grey,28,Available
3TZK3NY9V20YAR821,DLR_04,Curvv,Pure,Daytona Grey,30,Available
YB8DALFYO1750CEHL,DLR_12,Tiago,XM+,Midnight Plum,73,Aging
Y5Y2JR8KK791ZYRRU,DLR_07,Harrier,Pure,Oberon Black,23,Available
382KKZMPJRHT7ZEWV,DLR_12,Curvv,Pure,Pure Grey,15,Available
ZD1AT7O75RH8LX6DU,DLR_11,Nexon,Pure,Flame Red,3,Available
G79OR7875AUD9K9TR,DLR_12,Tiago,NRG,Daytona Grey,30,Available
QJG02U1G463SDYGFL,DLR_16,Curvv,Pure,Virtual Sunrise,21,Available
UJMIYQFY751YW7NH8,DLR_04,Nexon,Smart,Pristine White,22,Available
1231YV2STN7E36HTF,DLR_07,Punch,Creative+,Atomic Orange,35,Available
QCEOUUYLAJAHCPZTC,DLR_06,Safari,Adventure,Lunar Slate,9,Available
N6Q7NC85E4E9OE941,DLR_20,Curvv,Pure,Pristine White,56,Available
