booking_id,dealer_id,requested_model,requested_variant,date_booked,status
BOK00000,DLR_029,Ignis,Sigma,2025-05-11,Confirmed
BOK00001,DLR_007,Ignis,MT,2025-05-10,Delivered
BOK00002,DLR_025,Brezza,VXI,2025-06-02,Confirmed
BOK00003,DLR_023,Ignis,MT,2025-08-11,Delivered
BOK00004,DLR_023,Dzire,Sigma,2025-09-04,Delivered
BOK00005,DLR_001,Brezza,Alpha,2025-09-25,Pending
BOK00006,DLR_023,Baleno,VXI,2025-04-27,Confirmed
BOK00007,DLR_015,Alto,Alpha,2025-08-03,Delivered
BOK00008,DLR_025,Swift,Delta,2025-04-08,Delivered
BOK00009,DLR_023,Grand Vitara,VXI,2025-04-03,Pending
BOK00010,DLR_014,Ignis,Alpha,2025-12-18,Pending
BOK00011,DLR_026,Swift,Alpha,2025-12-05,Pending
BOK00012,DLR_014,Dzire,Alpha,2025-04-12,Confirmed
BOK00013,DLR_024,Ertiga,AGS,2025-07-03,Delivered
BOK00014,DLR_010,Swift,Delta,2025-07-06,Delivered
BOK00015,DLR_028,Alto,MT,2025-11-02,Pending
BOK00016,DLR_030,Swift,AGS,2025-11-10,Pending
BOK00017,DLR_024,Alto,AT,2025-12-08,Pending
BOK00018,DLR_014,Brezza,AGS,2025-02-16,Confirmed
BOK00019,DLR_010,Ertiga,AGS,2025-08-19,Confirmed
BOK00020,DLR_024,Dzire,Alpha,2025-12-28,Delivered
BOK00021,DLR_028,Grand Vitara,AT,2025-08-11,Confirmed
BOK00022,DLR_016,Dzire,Delta,2025-09-15,Pending
BOK00023,DLR_028,Brezza,Alpha,2025-10-08,Pending
BOK00024,DLR_001,Ertiga,Delta,2025-11-05,Pending
BOK00025,DLR_008,Baleno,ZXI,2025-11-20,Delivered
BOK00026,DLR_027,Dzire,AGS,2025-04-20,Delivered
BOK00027,DLR_018,Grand Vitara,Delta,2025-04-14,Pending
BOK00028,DLR_015,Dzire,MT,2025-12-25,Delivered
BOK00029,DLR_019,Dzire,Sigma,2025-08-13,Confirmed
BOK00030,DLR_026,Ignis,AT,2025-10-08,Confirmed
BOK00031,DLR_012,Grand Vitara,VXI,2025-10-04,Pending
BOK00032,DLR_029,Baleno,LXI,2025-05-19,Delivered
BOK00033,DLR_014,Alto,Delta,2025-04-12,Confirmed
