Date,Dealer_ID,Inventory_Level,Total_Demand_Qty,Avg_Unit_Price,Total_Sales_Value,Stockout_Count
2025-01-01,DLR_001,Standard,145,1200,174000,0
2025-01-01,DLR_002,Standard,50,1200,60000,2
2025-01-01,DLR_003,Standard,25,1200,30000,1
2025-01-01,DLR_004,Standard,180,1200,216000,1
2025-01-01,DLR_005,Standard,216,1200,259200,2
2025-01-01,DLR_006,Standard,163,1200,195600,1
2025-01-01,DLR_007,Standard,115,1200,138000,0
2025-01-01,DLR_008,Standard,22,1200,26400,0
2025-01-01,DLR_009,Standard,63,1200,75600,3
2025-01-01,DLR_010,Standard,191,1200,229200,3
2025-01-01,DLR_011,Standard,100,1200,120000,1
2025-01-01,DLR_012,Standard,108,1200,129600,2
2025-01-01,DLR_013,Standard,131,1200,157200,0
2025-01-01,DLR_014,Standard,129,1200,154800,1
2025-01-01,DLR_015,Standard,138,1200,165600,2
2025-01-01,DLR_016,Standard,126,1200,151200,1
2025-01-01,DLR_017,Standard,207,1200,248400,0
2025-01-01,DLR_018,Standard,206,1200,247200,2
2025-01-01,DLR_019,Standard,211,1200,253200,0
2025-01-01,DLR_020,Standard,245,1200,294000,3
2025-01-01,DLR_021,Standard,104,1200,124800,3
2025-01-01,DLR_022,Standard,31,1200,37200,0
2025-01-01,DLR_023,Standard,135,1200,162000,1
2025-01-01,DLR_024,Standard,83,1200,99600,1
2025-01-01,DLR_025,Standard,244,1200,292800,0
2025-01-01,DLR_026,Standard,164,1200,196800,1
2025-01-01,DLR_027,Standard,122,1200,146400,1
2025-01-01,DLR_028,Standard,174,1200,208800,1
2025-01-01,DLR_029,Standard,37,1200,44400,3
2025-01-01,DLR_030,Standard,156,1200,187200,2
2025-01-02,DLR_001,Standard,116,1200,139200,2
2025-01-02,DLR_002,Standard,248,1200,297600,0
2025-01-02,DLR_003,Standard,43,1200,51600,1
2025-01-02,DLR_004,Standard,202,1200,242400,0
2025-01-02,DLR_005,Standard,153,1200,183600,0
2025-01-02,DLR_006,Standard,157,1200,188400,1
2025-01-02,DLR_007,Standard,100,1200,120000,2
2025-01-02,DLR_008,Standard,53,1200,63600,0
2025-01-02,DLR_009,Standard,210,1200,252000,3
2025-01-02,DLR_010,Standard,101,1200,121200,2
2025-01-02,DLR_011,Standard,139,1200,166800,1
2025-01-02,DLR_012,Standard,179,1200,214800,1
2025-01-02,DLR_013,Standard,179,1200,214800,3
2025-01-02,DLR_014,Standard,80,1200,96000,0
2025-01-02,DLR_015,Standard,163,1200,195600,0
2025-01-02,DLR_016,Standard,251,1200,301200,0
2025-01-02,DLR_017,Standard,60,1200,72000,1
2025-01-02,DLR_018,Standard,232,1200,278400,2
2025-01-02,DLR_019,Standard,255,1200,306000,2
2025-01-02,DLR_020,Standard,35,1200,42000,0
2025-01-02,DLR_021,Standard,247,1200,296400,0
2025-01-02,DLR_022,Standard,202,1200,242400,1
2025-01-02,DLR_023,Standard,92,1200,110400,1
2025-01-02,DLR_024,Standard,227,1200,272400,3
2025-01-02,DLR_025,Standard,226,1200,271200,3
2025-01-02,DLR_026,Standard,119,1200,142800,0
2025-01-02,DLR_027,Standard,137,1200,164400,1
2025-01-02,DLR_028,Standard,141,1200,169200,1
2025-01-02,DLR_029,Standard,211,1200,253200,2
2025-01-02,DLR_030,Standard,42,1200,50400,1
2025-01-03,DLR_001,Standard,233,1200,279600,2
2025-01-03,DLR_002,Standard,208,1200,249600,1
2025-01-03,DLR_003,Standard,79,1200,94800,2
