Demand_ID,Date,Year,Month,Day,Day_of_Week,Week_of_Year,Dealer_ID,Dealer_Name,Zone,Warehouse_ID,Part_Number,Description,Inventory_Level,Category_Group,Unit_Of_Measurement,Vehicle_Model,Variant_ID,Fuel_Type,Promotion_Flag,Recall_Flag,New_Vehicle_Flag,Demand_Qty,On_Hand_Qty,Reorder_Point,Min_Order_Qty,SOQ_Suggested_Qty,Manager_Modified_Qty,Fulfillment_Status,Unit_Price,Sales_Value,Stockout_Flag
DMD00000,2025-11-08,2025,11,8,5,1,DLR_022,Maruti Point 22,Unassigned,WH001,PRT_0052,MGP Air Filter Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,6,71,46,5,10,10,Fulfilled,450,1800,0
DMD00001,2025-12-10,2025,12,10,2,1,DLR_011,Maruti Point 11,Unassigned,WH001,PRT_0051,MGP Air Filter Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,2,95,47,5,10,10,Fulfilled,450,2250,0
DMD00002,2025-11-20,2025,11,20,3,1,DLR_011,Maruti Point 11,Unassigned,WH001,PRT_0009,MGP Fuel Pump Type 4,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,7,60,35,5,10,10,Fulfilled,4200,4200,0
DMD00003,2025-07-07,2025,7,7,0,1,DLR_002,Vitesse Motors,West,WH001,PRT_0084,MGP Wiper Blades Type 5,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,2,67,17,5,10,10,Fulfilled,600,1800,0
DMD00004,2025-07-09,2025,7,9,2,1,DLR_022,Maruti Point 22,Unassigned,WH001,PRT_0010,MGP Timing Belt Type 3,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,2,29,42,5,10,10,Fulfilled,1500,4500,1
DMD00005,2025-02-03,2025,2,3,0,1,DLR_027,Maruti Point 27,Unassigned,WH001,PRT_0065,MGP Alternator Type 4,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,7,81,33,5,10,10,Fulfilled,5600,22400,0
DMD00006,2025-11-21,2025,11,21,4,1,DLR_024,Maruti Point 24,Unassigned,WH001,PRT_0081,MGP Headlight Bulb Type 2,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,6,59,36,5,10,10,Fulfilled,850,3400,0
DMD00007,2025-03-25,2025,3,25,1,1,DLR_030,Maruti Point 30,Unassigned,WH001,PRT_0081,MGP Headlight Bulb Type 2,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,18,67,30,5,10,10,Fulfilled,850,3400,0
DMD00008,2025-08-23,2025,8,23,5,1,DLR_015,Maruti Point 15,Unassigned,WH001,PRT_0059,MGP Wiper Blades Type 4,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,17,19,33,5,10,10,Fulfilled,600,3000,1
DMD00009,2025-01-16,2025,1,16,3,1,DLR_019,Maruti Point 19,Unassigned,WH001,PRT_0092,MGP Oil Filter Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,20,18,21,5,10,10,Fulfilled,320,1280,1
DMD00010,2025-10-04,2025,10,4,5,1,DLR_020,Maruti Point 20,Unassigned,WH001,PRT_0098,MGP Wiper Blades Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,16,56,45,5,10,10,Fulfilled,600,600,0
DMD00011,2025-03-19,2025,3,19,2,1,DLR_002,Vitesse Motors,West,WH001,PRT_0085,MGP Cabin Air Filter Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,5,29,16,5,10,10,Fulfilled,550,2200,0
DMD00012,2025-04-16,2025,4,16,2,1,DLR_017,Maruti Point 17,Unassigned,WH001,PRT_0074,MGP Alternator Type 2,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,6,37,36,5,10,10,Fulfilled,5600,5600,0
DMD00013,2025-09-28,2025,9,28,6,1,DLR_008,Mandovi Motors,South,WH001,PRT_0056,MGP Alternator Type 5,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,16,37,14,5,10,10,Fulfilled,5600,22400,0
DMD00014,2025-03-24,2025,3,24,0,1,DLR_003,Popular Maruti,South,WH001,PRT_0089,MGP Cabin Air Filter Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,9,47,14,5,10,10,Fulfilled,550,1100,0
DMD00015,2025-11-12,2025,11,12,2,1,DLR_023,Maruti Point 23,Unassigned,WH001,PRT_0081,MGP Headlight Bulb Type 2,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,14,22,47,5,10,10,Fulfilled,850,850,1
DMD00016,2025-11-12,2025,11,12,2,1,DLR_016,Maruti Point 16,Unassigned,WH001,PRT_0056,MGP Alternator Type 5,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,5,58,48,5,10,10,Fulfilled,5600,11200,0
DMD00017,2025-06-05,2025,6,5,3,1,DLR_023,Maruti Point 23,Unassigned,WH001,PRT_0048,MGP Cabin Air Filter Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,16,65,30,5,10,10,Fulfilled,550,550,0
DMD00018,2025-04-01,2025,4,1,1,1,DLR_028,Maruti Point 28,Unassigned,WH001,PRT_0056,MGP Alternator Type 5,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,5,68,19,5,10,10,Fulfilled,5600,28000,0
DMD00019,2025-03-20,2025,3,20,3,1,DLR_025,Maruti Point 25,Unassigned,WH001,PRT_0092,MGP Oil Filter Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,5,47,25,5,10,10,Fulfilled,320,1600,0
DMD00020,2025-09-20,2025,9,20,5,1,DLR_028,Maruti Point 28,Unassigned,WH001,PRT_0057,MGP Alternator Type 3,Standard,Electrical,Each,Swift,VXI,Petrol,0,0,0,7,79,33,5,10,10,Fulfilled,5600,16800,0
DMD00021,2025-11-14,2025,11,14,4,1,DLR_026,Maruti Point 26,Unassigned,WH001,PRT_0077,MGP Wiper Blades Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,17,46,20,5,10,10,Fulfilled,600,1800,0
DMD00022,2025-08-09,2025,8,9,5,1,DLR_028,Maruti Point 28,Unassigned,WH001,PRT_0095,MGP Radiator Type 5,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,2,53,33,5,10,10,Fulfilled,6500,26000,0
DMD00023,2025-09-08,2025,9,8,0,1,DLR_022,Maruti Point 22,Unassigned,WH001,PRT_0020,MGP Cabin Air Filter Type 4,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,18,17,10,5,10,10,Fulfilled,550,1650,0
DMD00024,2025-01-17,2025,1,17,4,1,DLR_024,Maruti Point 24,Unassigned,WH001,PRT_0088,MGP Oil Filter Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,11,74,44,5,10,10,Fulfilled,320,1280,0
DMD00025,2025-06-25,2025,6,25,2,1,DLR_024,Maruti Point 24,Unassigned,WH001,PRT_0040,MGP Cabin Air Filter Type 5,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,4,17,31,5,10,10,Fulfilled,550,550,1
DMD00026,2025-01-04,2025,1,4,5,1,DLR_011,Maruti Point 11,Unassigned,WH001,PRT_0068,MGP Wiper Blades Type 1,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,14,43,45,5,10,10,Fulfilled,600,2400,1
DMD00027,2025-05-09,2025,5,9,4,1,DLR_020,Maruti Point 20,Unassigned,WH001,PRT_0063,MGP Radiator Type 4,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,7,52,15,5,10,10,Fulfilled,6500,26000,0
DMD00028,2025-12-18,2025,12,18,3,1,DLR_018,Maruti Point 18,Unassigned,WH001,PRT_0099,MGP Clutch Plate Type 5,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,13,46,34,5,10,10,Fulfilled,3200,9600,0
DMD00029,2025-06-08,2025,6,8,6,1,DLR_013,Maruti Point 13,Unassigned,WH001,PRT_0098,MGP Wiper Blades Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,15,43,24,5,10,10,Fulfilled,600,2400,0
DMD00030,2025-10-14,2025,10,14,1,1,DLR_009,Chowgule Industries,West,WH001,PRT_0096,MGP Radiator Type 2,Standard,Mechanical,Each,Swift,VXI,Petrol,0,0,0,19,52,22,5,10,10,Fulfilled,6500,13000,0
DMD00031,2025-07-06,2025,7,6,6,1,DLR_005,Sai Service,West,WH001,PRT_0089,MGP Cabin Air Filter Type 3,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,12,53,49,5,10,10,Fulfilled,550,550,0
DMD00032,2025-08-10,2025,8,10,6,1,DLR_006,Bimal Auto,South,WH001,PRT_0028,MGP Oil Filter Type 2,Standard,Consumable,Each,Swift,VXI,Petrol,0,0,0,8,81,50,5,10,10,Fulfilled,320,960,0
