Chassis_Number,Engine_Number,Model_Code,Variant_ID,Color,Fuel_Type,Transmission_Type,Model_Year
VIN00001,ENG-VIN00001,Ignis,VXI,Midnight Black,CNG,Manual,2024
VIN00002,ENG-VIN00002,Ertiga,VXI,Magma Grey,CNG,Manual,2024
VIN00003,ENG-VIN00003,Baleno,VXI,Magma Grey,CNG,Manual,2024
VIN00004,ENG-VIN00004,Swift,VXI,Arctic White,Petrol,Automatic,2024
VIN00005,ENG-VIN00005,Alto,VXI,Midnight Black,Petrol,Automatic,2024
VIN00006,ENG-VIN00006,Ertiga,VXI,Midnight Black,Petrol,Manual,2024
VIN00007,ENG-VIN00007,Ignis,VXI,Arctic White,Petrol,Automatic,2024
VIN00008,ENG-VIN00008,Celerio,VXI,Midnight Black,CNG,Manual,2024
VIN00009,ENG-VIN00009,Grand Vitara,VXI,Arctic White,CNG,Manual,2024
VIN00010,ENG-VIN00010,Brezza,VXI,Magma Grey,CNG,Automatic,2024
VIN00011,ENG-VIN00011,Brezza,VXI,Magma Grey,Petrol,Manual,2024
VIN00012,ENG-VIN00012,Dzire,VXI,Midnight Black,CNG,Manual,2024
VIN00013,ENG-VIN00013,Ignis,VXI,Midnight Black,Petrol,Automatic,2024
VIN00014,ENG-VIN00014,Ignis,VXI,Midnight Black,CNG,Automatic,2024
VIN00015,ENG-VIN00015,Swift,VXI,Arctic White,Petrol,Automatic,2024
VIN00016,ENG-VIN00016,Ignis,VXI,Midnight Black,Petrol,Automatic,2024
VIN00017,ENG-VIN00017,Swift,VXI,Midnight Black,Petrol,Manual,2024
VIN00018,ENG-VIN00018,Grand Vitara,VXI,Midnight Black,Petrol,Automatic,2024
VIN00019,ENG-VIN00019,Ignis,VXI,Magma Grey,Petrol,Automatic,2024
VIN00020,ENG-VIN00020,Dzire,VXI,Midnight Black,CNG,Manual,2024
VIN00021,ENG-VIN00021,Alto,VXI,Magma Grey,Petrol,Automatic,2024
VIN00022,ENG-VIN00022,Swift,VXI,Magma Grey,Petrol,Automatic,2024
VIN00023,ENG-VIN00023,Alto,VXI,Midnight Black,CNG,Manual,2024
VIN00024,ENG-VIN00024,Celerio,VXI,Midnight Black,CNG,Manual,2024
VIN00025,ENG-VIN00025,Grand Vitara,VXI,Magma Grey,CNG,Manual,2024
VIN00026,ENG-VIN00026,Ertiga,VXI,Midnight Black,Petrol,Automatic,2024
VIN00027,ENG-VIN00027,Swift,VXI,Midnight Black,Petrol,Manual,2024
VIN00028,ENG-VIN00028,Alto,VXI,Midnight Black,CNG,Automatic,2024
VIN00029,ENG-VIN00029,Ertiga,VXI,Arctic White,Petrol,Manual,2024
VIN00030,ENG-VIN00030,Dzire,VXI,Arctic White,Petrol,Manual,2024
VIN00031,ENG-VIN00031,Ertiga,VXI,Magma Grey,Petrol,Automatic,2024
VIN00032,ENG-VIN00032,Dzire,VXI,Magma Grey,CNG,Manual,2024
VIN00033,ENG-VIN00033,Ignis,VXI,Midnight Black,CNG,Automatic,2024
VIN00034,ENG-VIN00034,Ertiga,VXI,Magma Grey,Petrol,Manual,2024
VIN00035,ENG-VIN00035,Brezza,VXI,Arctic White,CNG,Manual,2024
VIN00036,ENG-VIN00036,Celerio,VXI,Magma Grey,CNG,Manual,2024
VIN00037,ENG-VIN00037,Ertiga,VXI,Midnight Black,Petrol,Automatic,2024
VIN00038,ENG-VIN00038,Brezza,VXI,Arctic White,Petrol,Automatic,2024
VIN00039,ENG-VIN00039,Alto,VXI,Magma Grey,CNG,Automatic,2024
VIN00040,ENG-VIN00040,Baleno,VXI,Magma Grey,CNG,Manual,2024
VIN00041,ENG-VIN00041,Grand Vitara,VXI,Magma Grey,CNG,Automatic,2024
VIN00042,ENG-VIN00042,Grand Vitara,VXI,Magma Grey,Petrol,Manual,2024
VIN00043,ENG-VIN00043,Celerio,VXI,Midnight Black,Petrol,Automatic,2024
VIN00044,ENG-VIN00044,Baleno,VXI,Magma Grey,Petrol,Automatic,2024
VIN00045,ENG-VIN00045,Ertiga,VXI,Midnight Black,Petrol,Automatic,2024
VIN00046,ENG-VIN00046,Celerio,VXI,Arctic White,Petrol,Manual,2024
VIN00047,ENG-VIN00047,Brezza,VXI,Midnight Black,CNG,Automatic,2024
VIN00048,ENG-VIN00048,Swift,VXI,Magma Grey,CNG,Manual,2024
VIN00049,ENG-VIN00049,Swift,VXI,Magma Grey,CNG,Manual,2024
VIN00050,ENG-VIN00050,Celerio,VXI,Midnight Black,CNG,Automatic,2024
VIN00051,ENG-VIN00051,Ignis,VXI,Magma Grey,Petrol,Automatic,2024
VIN00052,ENG-VIN00052,Ertiga,VXI,Magma Grey,CNG,Manual,2024
VIN00053,ENG-VIN00053,Celerio,VXI,Arctic White,Petrol,Manual,2024
VIN00054,ENG-VIN00054,Celerio,VXI,Magma Grey,CNG,Automatic,2024
VIN00055,ENG-VIN00055,Swift,VXI,Midnight Black,Petrol,Manual,2024
VIN00056,ENG-VIN00056,Swift,VXI,Magma Grey,Petrol,Manual,2024
VIN00057,ENG-VIN00057,Grand Vitara,VXI,Midnight Black,CNG,Manual,2024
VIN00058,ENG-VIN00058,Ignis,VXI,Magma Grey,Petrol,Automatic,2024
VIN00059,ENG-VIN00059,Ertiga,VXI,Arctic White,CNG,Automatic,2024
VIN00060,ENG-VIN00060,Brezza,VXI,Midnight Black,Petrol,Automatic,2024
VIN00061,ENG-VIN00061,Baleno,VXI,Midnight Black,Petrol,Manual,2024
VIN00062,ENG-VIN00062,Grand Vitara,VXI,Magma Grey,Petrol,Manual,2024
VIN00063,ENG-VIN00063,Baleno,VXI,Arctic White,Petrol,Automatic,2024
VIN00064,ENG-VIN00064,Alto,VXI,Arctic White,CNG,Manual,2024
VIN00065,ENG-VIN00065,Brezza,VXI,Arctic White,Petrol,Manual,2024
VIN00066,ENG-VIN00066,Swift,VXI,Arctic White,CNG,Automatic,2024
VIN00067,ENG-VIN00067,Swift,VXI,Magma Grey,CNG,Automatic,2024
VIN00068,ENG-VIN00068,Dzire,VXI,Arctic White,Petrol,Manual,2024
VIN00069,ENG-VIN00069,Ertiga,VXI,Midnight Black,CNG,Manual,2024
VIN00070,ENG-VIN00070,Dzire,VXI,Midnight Black,CNG,Manual,2024
VIN00071,ENG-VIN00071,Celerio,VXI,Magma Grey,CNG,Manual,2024
VIN00072,ENG-VIN00072,Ertiga,VXI,Arctic White,Petrol,Manual,2024
VIN00073,ENG-VIN00073,Celerio,VXI,Magma Grey,CNG,Automatic,2024
VIN00074,ENG-VIN00074,Alto,VXI,Magma Grey,Petrol,Automatic,2024
VIN00075,ENG-VIN00075,Grand Vitara,VXI,Midnight Black,CNG,Manual,2024
VIN00076,ENG-VIN00076,Grand Vitara,VXI,Arctic White,Petrol,Manual,2024
VIN00077,ENG-VIN00077,Brezza,VXI,Magma Grey,CNG,Manual,2024
VIN00078,ENG-VIN00078,Ignis,VXI,Midnight Black,Petrol,Manual,2024
VIN00079,ENG-VIN00079,Baleno,VXI,Magma Grey,Petrol,Manual,2024
VIN00080,ENG-VIN00080,Grand Vitara,VXI,Magma Grey,CNG,Manual,2024
VIN00081,ENG-VIN00081,Ignis,VXI,Midnight Black,Petrol,Manual,2024
VIN00082,ENG-VIN00082,Ignis,VXI,Arctic White,Petrol,Automatic,2024
VIN00083,ENG-VIN00083,Grand Vitara,VXI,Magma Grey,CNG,Manual,2024
VIN00084,ENG-VIN00084,Grand Vitara,VXI,Arctic White,Petrol,Automatic,2024
VIN00085,ENG-VIN00085,Baleno,VXI,Arctic White,Petrol,Automatic,2024
VIN00086,ENG-VIN00086,Swift,VXI,Midnight Black,Petrol,Manual,2024
VIN00087,ENG-VIN00087,Baleno,VXI,Midnight Black,CNG,Automatic,2024
VIN00088,ENG-VIN00088,Celerio,VXI,Magma Grey,CNG,Manual,2024
VIN00089,ENG-VIN00089,Baleno,VXI,Midnight Black,CNG,Automatic,2024
VIN00090,ENG-VIN00090,Swift,VXI,Midnight Black,Petrol,Manual,2024
VIN00091,ENG-VIN00091,Dzire,VXI,Arctic White,CNG,Automatic,2024
VIN00092,ENG-VIN00092,Dzire,VXI,Midnight Black,Petrol,Manual,2024
VIN00093,ENG-VIN00093,Baleno,VXI,Magma Grey,Petrol,Manual,2024
VIN00094,ENG-VIN00094,Alto,VXI,Midnight Black,CNG,Automatic,2024
VIN00095,ENG-VIN00095,Grand Vitara,VXI,Magma Grey,Petrol,Automatic,2024
VIN00096,ENG-VIN00096,Grand Vitara,VXI,Magma Grey,Petrol,Automatic,2024
VIN00097,ENG-VIN00097,Swift,VXI,Midnight Black,CNG,Manual,2024
VIN00098,ENG-VIN00098,Swift,VXI,Magma Grey,Petrol,Manual,2024
VIN00099,ENG-VIN00099,Alto,VXI,Arctic White,Petrol,Manual,2024
VIN00100,ENG-VIN00100,Swift,VXI,Arctic White,Petrol,Automatic,2024
VIN00101,ENG-VIN00101,Alto,VXI,Arctic White,CNG,Automatic,2024
VIN00102,ENG-VIN00102,Baleno,VXI,Midnight Black,Petrol,Manual,2024
VIN00103,ENG-VIN00103,Alto,VXI,Arctic White,CNG,Automatic,2024
VIN00104,ENG-VIN00104,Baleno,VXI,Midnight Black,CNG,Manual,2024
VIN00105,ENG-VIN00105,Grand Vitara,VXI,Midnight Black,Petrol,Automatic,2024
VIN00106,ENG-VIN00106,Ertiga,VXI,Arctic White,CNG,Automatic,2024
VIN00107,ENG-VIN00107,Brezza,VXI,Arctic White,Petrol,Manual,2024
VIN00108,ENG-VIN00108,Celerio,VXI,Arctic White,CNG,Manual,2024
VIN00109,ENG-VIN00109,Ertiga,VXI,Magma Grey,CNG,Manual,2024
