sale_id,chassis_number,dealer_id,customer_id,sale_date,month,quarter,year,final_sale_price_inr,days_to_sell,discount_given_inr,finance_taken,exchange_vehicle,model_code,variant_id
SAL000000,VIN0000001,DLR008,CUST23904,2025-06-06,6,1,2025,636660,34,35300,1,1,Dzire,MT
SAL000001,VIN0000002,DLR010,CUST01142,2025-04-08,4,1,2025,1432680,48,5484,1,0,Baleno,Delta
SAL000002,VIN0000003,DLR028,CUST09486,2025-11-21,11,1,2025,1334638,5,42456,0,0,Brezza,AGS
SAL000003,VIN0000004,DLR025,CUST14166,2025-12-09,12,1,2025,1033652,33,34925,0,0,Swift,Alpha
SAL000004,VIN0000005,DLR019,CUST08086,2025-04-23,4,1,2025,594840,22,35437,1,1,Brezza,ZXI
SAL000005,VIN0000006,DLR012,CUST07949,2025-11-03,11,1,2025,1188093,47,5806,1,0,Baleno,MT
SAL000006,VIN0000007,DLR027,CUST05759,2025-04-26,4,1,2025,581502,29,21002,1,0,Ertiga,Delta
SAL000007,VIN0000008,DLR010,CUST19601,2025-10-20,10,1,2025,880958,58,7942,1,0,Ertiga,ZXI
SAL000008,VIN0000009,DLR001,CUST18453,2025-02-01,2,1,2025,585279,56,36656,1,1,Ertiga,Sigma
SAL000009,VIN0000010,DLR026,CUST14507,2025-04-09,4,1,2025,1003544,7,20090,1,0,Grand Vitara,Sigma
SAL000010,VIN0000011,DLR016,CUST05436,2025-05-25,5,1,2025,846289,51,22017,0,0,Ertiga,VXI
SAL000011,VIN0000012,DLR017,CUST07649,2025-01-03,1,1,2025,803992,33,24936,1,0,Swift,Alpha
SAL000012,VIN0000013,DLR001,CUST02841,2025-08-06,8,1,2025,1007038,50,39821,0,0,Swift,Sigma
SAL000013,VIN0000014,DLR001,CUST18898,2025-05-25,5,1,2025,1249492,25,40036,1,1,Brezza,ZXI
SAL000014,VIN0000015,DLR013,CUST05985,2025-06-07,6,1,2025,900051,32,31848,0,0,Swift,Sigma
SAL000015,VIN0000016,DLR012,CUST20103,2025-07-17,7,1,2025,1319646,50,18823,1,0,Swift,Alpha
SAL000016,VIN0000017,DLR021,CUST10674,2025-10-18,10,1,2025,1425121,52,7907,1,0,Swift,AT
SAL000017,VIN0000018,DLR026,CUST21485,2025-08-03,8,1,2025,1361239,27,39109,0,0,Brezza,AGS
SAL000018,VIN0000019,DLR028,CUST21273,2025-02-28,2,1,2025,1102443,42,27351,1,0,Baleno,ZXI
SAL000019,VIN0000020,DLR019,CUST21073,2025-04-06,4,1,2025,1282400,72,30970,1,0,Alto,Sigma
SAL000020,VIN0000021,DLR029,CUST17115,2025-12-05,12,1,2025,1315389,36,11583,0,1,Baleno,VXI
SAL000021,VIN0000022,DLR024,CUST14375,2025-03-11,3,1,2025,1238819,69,23429,0,0,Celerio,LXI
SAL000022,VIN0000023,DLR012,CUST18475,2025-04-06,4,1,2025,1197449,42,24863,1,0,Swift,AGS
SAL000023,VIN0000024,DLR015,CUST17178,2025-01-03,1,1,2025,1062245,11,29743,1,1,Brezza,ZXI
SAL000024,VIN0000025,DLR011,CUST16331,2025-08-22,8,1,2025,1217587,41,9266,1,0,Ertiga,AT
SAL000025,VIN0000026,DLR002,CUST03306,2025-10-24,10,1,2025,924854,22,35403,1,0,Brezza,VXI
SAL000026,VIN0000027,DLR019,CUST14046,2025-10-19,10,1,2025,1124831,32,38846,0,0,Ertiga,AT
SAL000027,VIN0000028,DLR014,CUST13862,2025-05-05,5,1,2025,1309061,27,24857,1,1,Swift,LXI
SAL000028,VIN0000029,DLR007,CUST05862,2025-07-23,7,1,2025,1225842,27,16451,1,0,Brezza,ZXI
SAL000029,VIN0000030,DLR008,CUST00783,2025-10-03,10,1,2025,1342785,33,26089,0,0,Baleno,Delta
SAL000030,VIN0000031,DLR010,CUST04452,2025-09-23,9,1,2025,737599,62,23640,1,1,Swift,AT
SAL000031,VIN0000032,DLR018,CUST13382,2025-09-04,9,1,2025,877581,66,5267,0,0,Swift,Delta
SAL000032,VIN0000033,DLR029,CUST06311,2025-05-05,5,1,2025,726202,59,15094,1,0,Ignis,VXI
SAL000033,VIN0000034,DLR008,CUST13171,2025-04-26,4,1,2025,738878,64,7211,1,1,Alto,Alpha
SAL000034,VIN0000035,DLR015,CUST17526,2025-07-16,7,1,2025,522414,23,21372,1,0,Dzire,Alpha
SAL000035,VIN0000036,DLR028,CUST13741,2025-08-09,8,1,2025,1097726,63,42683,1,0,Dzire,AT
SAL000036,VIN0000037,DLR003,CUST16519,2025-05-11,5,1,2025,986116,36,30039,1,1,Ertiga,MT
SAL000037,VIN0000038,DLR009,CUST21486,2025-09-26,9,1,2025,1445790,41,24207,1,0,Celerio,Alpha
SAL000038,VIN0000039,DLR002,CUST21430,2025-07-02,7,1,2025,661263,70,13545,1,1,Celerio,MT
SAL000039,VIN0000040,DLR019,CUST00066,2025-09-10,9,1,2025,808113,28,43043,1,0,Brezza,MT
SAL000040,VIN0000041,DLR029,CUST06818,2025-07-19,7,1,2025,1488192,30,10520,0,1,Swift,ZXI
SAL000041,VIN0000042,DLR020,CUST06516,2025-01-04,1,1,2025,1375180,44,25167,1,0,Swift,AGS
SAL000042,VIN0000043,DLR024,CUST10020,2025-05-28,5,1,2025,1178073,52,15935,1,1,Swift,LXI
SAL000043,VIN0000044,DLR013,CUST13159,2025-04-27,4,1,2025,844693,21,9584,0,0,Baleno,Alpha
SAL000044,VIN0000045,DLR030,CUST23090,2025-08-04,8,1,2025,916140,19,26259,1,0,Brezza,MT
