dealer_id,name,location,capacity
DLR_01,Garciashire Motors,Rachelside,327
DLR_02,West Suefort Motors,South Justinhaven,346
DLR_03,Sandybury Motors,Thomasstad,298
DLR_04,South Connie Motors,East Kevinfurt,355
DLR_05,Fernandezbury Motors,Lake Barry,342
DLR_06,Lake Hannahtown Motors,Castilloside,185
DLR_07,Erikaport Motors,Lake Larry,202
DLR_08,Careyburgh Motors,West Lee,162
DLR_09,Nelsonville Motors,New Matthewmouth,294
DLR_10,Isabellaborough Motors,South Kristen,220
DLR_11,Lake Jasonstad Motors,West Ashley,241
DLR_12,Yatesmouth Motors,Mercedesville,279
DLR_13,Pachecoburgh Motors,Patrickville,336
DLR_14,Petersonfurt Motors,East Marcusview,375
DLR_15,New Stephanie Motors,Lake Grace,342
DLR_16,Lake Natasha Motors,New Heather,316
DLR_17,Nielsenburgh Motors,New Jennifer,362
DLR_18,Lake Jamesmouth Motors,North Michaelbury,374
DLR_19,Lindseyport Motors,South Gregory,396
DLR_20,New Taylorstad Motors,Wheelerstad,370
