shipment_id,vin,origin,destination_dealer_id,status,expected_delivery_date
SHP_00001,3X7FMZWM1U8NFKSPJ,Manesar_Plant,DLR_13,Delayed,2026-03-24
SHP_00002,Y4W5F6603PZ8BKFYU,Manesar_Plant,DLR_11,Delayed,2026-03-24
SHP_00003,NCLJXLHT1S6F5KBT5,Manesar_Plant,DLR_13,Delayed,2026-03-29
SHP_00004,2D7RM76M0CCMDTLLK,Manesar_Plant,DLR_15,Delayed,2026-03-24
SHP_00005,EMVFCBT04YPKP8E3C,Manesar_Plant,DLR_03,Delayed,2026-03-29
SHP_00006,HF3W8F262VUVZGLR0,Manesar_Plant,DLR_18,Delayed,2026-03-28
SHP_00007,R42R2PEK4T2VFZ8YA,Manesar_Plant,DLR_18,Delayed,2026-03-23
SHP_00008,HSB7WMT81ZDGRS8A5,Manesar_Plant,DLR_14,Delayed,2026-03-31
SHP_00009,8064FMKJ1HZ3JKU3N,Manesar_Plant,DLR_11,Delayed,2026-03-23
SHP_00010,M8N86C959FN42V07V,Manesar_Plant,DLR_15,Delayed,2026-03-28
SHP_00011,G1GF1S3K5F7AM2838,Manesar_Plant,DLR_04,Delayed,2026-03-26
SHP_00012,59RJJGGX5UPK8E7WB,Manesar_Plant,DLR_10,Delayed,2026-03-24
SHP_00013,4987ALV420AR0VNCE,Manesar_Plant,DLR_07,Delayed,2026-03-30
SHP_00014,SX77H53W876HAGAHF,Manesar_Plant,DLR_01,Delayed,2026-03-28
SHP_00015,02RN79GD7VHGB4CRY,Manesar_Plant,DLR_04,Delayed,2026-03-27
SHP_00016,W7Y4WWFD8P6YF9NSG,Manesar_Plant,DLR_18,Delayed,2026-03-24
SHP_00017,N1FH505Y93MK0T97H,Manesar_Plant,DLR_18,Delayed,2026-03-23
SHP_00018,M8NVE2023G2B6R95R,Manesar_Plant,DLR_07,Delayed,2026-03-28
SHP_00019,GRWYNNXK5FJKU529N,Manesar_Plant,DLR_11,Delayed,2026-03-27
SHP_00020,MZ5EPUZY8ZP4EZ1G8,Manesar_Plant,DLR_07,Delayed,2026-03-27
SHP_00021,Z8GPM96N8SXTJ39HL,Manesar_Plant,DLR_14,Delayed,2026-03-25
SHP_00022,WUEJV4LJXSY77TT8W,Manesar_Plant,DLR_03,Delayed,2026-03-27
SHP_00023,UV8XPFTT6P5P0HWS7,Manesar_Plant,DLR_13,Delayed,2026-03-31
SHP_00024,A29TB31R29MU6VHJ8,Manesar_Plant,DLR_08,Delayed,2026-03-28
SHP_00025,6ASKBGXGXP9HRJXAW,Manesar_Plant,DLR_12,Delayed,2026-03-24
SHP_00026,BB4RZ2NA74XV3RF65,Manesar_Plant,DLR_11,Delayed,2026-03-23
SHP_00027,FEE35SD97JW9KFNAE,Manesar_Plant,DLR_14,Delayed,2026-03-27
SHP_00028,5Y6AKWY508FLVJKDS,Manesar_Plant,DLR_07,Delayed,2026-03-30
SHP_00029,B9G5J5NN9AFH996H4,Manesar_Plant,DLR_19,Delayed,2026-03-28
SHP_00030,SC3TPKGG178HU97N1,Manesar_Plant,DLR_19,Delayed,2026-03-29
SHP_00031,UGSYFW138VDJ3R42C,Manesar_Plant,DLR_13,Delayed,2026-03-29
SHP_00032,6VHLHAX002VR75LTX,Manesar_Plant,DLR_18,Delayed,2026-03-24
SHP_00033,TCXHL2ZL8NXT52X8D,Manesar_Plant,DLR_03,Delayed,2026-03-23
SHP_00034,7XY45BT02NW0R5J7R,Manesar_Plant,DLR_09,Delayed,2026-03-24
SHP_00035,STHH9CP39H8P29SM3,Manesar_Plant,DLR_09,Delayed,2026-03-31
SHP_00036,F9SH1Z2S2LEHX1J51,Manesar_Plant,DLR_18,Delayed,2026-03-27
SHP_00037,LZXUVBDX6W9DCN8YC,Manesar_Plant,DLR_15,Delayed,2026-03-25
SHP_00038,B33VVWHP5K0HX2W5V,Manesar_Plant,DLR_13,Delayed,2026-03-25
SHP_00039,07HADHJR94LXHE1KF,Manesar_Plant,DLR_04,Delayed,2026-03-30
SHP_00040,ABXAR7VF15J78TZ59,Manesar_Plant,DLR_07,Delayed,2026-03-30
SHP_00041,YK5P23PH0S4L3HMTE,Manesar_Plant,DLR_16,Delayed,2026-03-27
SHP_00042,LRB6J7GP4Y08XTUH7,Manesar_Plant,DLR_13,Delayed,2026-03-26
SHP_00043,EH8VKSNP8FZYDJ4ZM,Manesar_Plant,DLR_09,Delayed,2026-03-25
SHP_00044,W6R8UBTW5LBBGCCS4,Manesar_Plant,DLR_11,Delayed,2026-03-26
