Transaction_ID,Date,Dealer_ID,Warehouse_ID,Part_Number,System_Suggested_Qty,Manager_Modified_Qty,Fulfillment_Status,Priority_Flag
SOQ00000001,2025-05-23,DLR019,WH003,99000M83221,0,0,Not Needed,Normal
SOQ00000002,2025-09-24,DLR002,WH001,990J0M94768,0,0,Not Needed,Normal
SOQ00000003,2025-11-27,DLR022,WH004,99000M54350,0,0,Not Needed,Normal
SOQ00000004,2025-07-24,DLR021,WH004,990J0M999H2-130,0,0,Not Needed,Normal
SOQ00000005,2025-12-23,DLR013,WH002,99000M33169,0,0,Not Needed,Normal
SOQ00000006,2025-12-19,DLR013,WH002,0927371,0,0,Not Needed,Normal
SOQ00000007,2025-11-28,DLR027,WH005,99000M42928,200,198,Fulfilled,Normal
SOQ00000008,2025-11-13,DLR012,WH002,99000M72946,0,0,Not Needed,Normal
SOQ00000009,2025-10-19,DLR024,WH004,3836742,0,0,Not Needed,Normal
SOQ00000010,2025-09-18,DLR002,WH001,990J0M25955,0,0,Not Needed,Normal
SOQ00000011,2025-04-28,DLR010,WH002,990J0M194270,40,43,Fulfilled,Normal
SOQ00000012,2025-01-01,DLR001,WH001,34255350,20,23,Fulfilled,Normal
SOQ00000013,2025-02-19,DLR008,WH001,990J0M65555,0,0,Not Needed,Normal
SOQ00000014,2025-12-28,DLR017,WH003,17615776,20,21,Fulfilled,Normal
SOQ00000015,2025-01-18,DLR029,WH005,990J0M70602,0,0,Not Needed,Normal
SOQ00000016,2025-03-18,DLR014,WH003,17680326,20,20,Fulfilled,Normal
SOQ00000017,2025-06-11,DLR012,WH002,99000M30364,0,0,Not Needed,Normal
SOQ00000018,2025-12-16,DLR010,WH002,137346584,0,0,Not Needed,Normal
SOQ00000019,2025-11-05,DLR020,WH003,990J0M68876,0,0,Not Needed,Normal
SOQ00000020,2025-12-08,DLR019,WH003,137678316,40,38,Fulfilled,Normal
SOQ00000021,2025-11-27,DLR002,WH001,17660677,20,17,Fulfilled,Normal
SOQ00000022,2025-12-15,DLR009,WH002,99000M50527,200,198,Fulfilled,Medium
SOQ00000023,2025-07-16,DLR030,WH001,165261633,0,0,Not Needed,Normal
SOQ00000024,2025-12-19,DLR028,WH005,990J0M65743,0,0,Not Needed,Normal
SOQ00000025,2025-08-31,DLR024,WH004,991904034,0,0,Not Needed,Normal
SOQ00000026,2025-01-14,DLR010,WH002,991752465,40,41,Fulfilled,Normal
SOQ00000027,2025-02-19,DLR010,WH002,990J0M811998,0,0,Not Needed,Normal
SOQ00000028,2025-04-20,DLR012,WH002,99000M95445,0,0,Not Needed,Normal
SOQ00000029,2025-04-10,DLR005,WH001,16510M68K20,0,0,Not Needed,Normal
SOQ00000030,2025-02-10,DLR018,WH003,990J0M48994,0,0,Not Needed,Normal
SOQ00000031,2025-11-30,DLR025,WH004,990J0M11103,0,0,Not Needed,Normal
SOQ00000032,2025-03-05,DLR022,WH004,990J0M95269,0,0,Not Needed,Normal
SOQ00000033,2025-07-03,DLR018,WH003,3E051235,5,10,Fulfilled,Normal
SOQ00000034,2025-12-29,DLR022,WH004,3869152,80,78,Fulfilled,Normal
SOQ00000035,2025-09-08,DLR026,WH004,990J0M95991,0,0,Not Needed,Normal
SOQ00000036,2025-06-27,DLR028,WH005,990J0M07815,0,0,Not Needed,Normal
SOQ00000037,2025-01-05,DLR003,WH001,990J0M22710,200,198,Fulfilled,Normal
SOQ00000038,2025-03-04,DLR006,WH001,99000M20169,200,203,Fulfilled,Normal
SOQ00000039,2025-02-16,DLR030,WH001,99000M62302,200,198,Pending,Normal
SOQ00000040,2025-08-22,DLR014,WH003,990J0M93620,0,0,Not Needed,Normal
SOQ00000041,2025-07-15,DLR027,WH005,38249443,0,0,Not Needed,Normal
SOQ00000042,2025-02-21,DLR026,WH004,137143001,40,41,Fulfilled,Normal
SOQ00000043,2025-07-31,DLR001,WH001,3E022149,0,0,Not Needed,Normal
SOQ00000044,2025-08-11,DLR028,WH005,990J0M39800,0,0,Not Needed,Normal
SOQ00000045,2025-03-02,DLR020,WH003,137429670,0,0,Not Needed,Normal
SOQ00000046,2025-05-13,DLR016,WH003,990J0M45455,200,198,Fulfilled,Medium
SOQ00000047,2025-12-13,DLR029,WH005,99000M53340,0,0,Not Needed,Normal
SOQ00000048,2025-04-06,DLR029,WH005,42136015,20,23,Fulfilled,Normal
SOQ00000049,2025-04-01,DLR003,WH001,13755648,0,0,Not Needed,Normal
SOQ00000050,2025-05-04,DLR030,WH001,1120067993,0,0,Not Needed,Normal
SOQ00000051,2025-08-04,DLR016,WH003,990J0M23059,0,0,Not Needed,Normal
SOQ00000052,2025-08-30,DLR026,WH004,99000M21362,0,0,Not Needed,Normal
SOQ00000053,2025-07-04,DLR017,WH003,3865018,0,0,Not Needed,Normal
SOQ00000054,2025-05-20,DLR020,WH003,990J0M98516,0,0,Not Needed,Normal
SOQ00000055,2025-02-15,DLR003,WH001,99000M20169,0,0,Not Needed,Normal
SOQ00000056,2025-09-02,DLR021,WH004,3863832,0,0,Not Needed,Normal
SOQ00000057,2025-02-14,DLR011,WH002,99000M48935,0,0,Not Needed,Normal
SOQ00000058,2025-03-07,DLR029,WH005,95184318,0,0,Not Needed,Normal
SOQ00000059,2025-02-17,DLR013,WH002,990J0M713217,0,0,Not Needed,Normal
SOQ00000060,2025-07-19,DLR009,WH002,99000M20569,0,0,Not Needed,Normal
SOQ00000061,2025-05-26,DLR001,WH001,99000M68395,0,0,Not Needed,Normal
SOQ00000062,2025-04-12,DLR030,WH001,3834030,0,0,Not Needed,Normal
SOQ00000063,2025-09-01,DLR012,WH002,95175641,20,23,Fulfilled,Normal
SOQ00000064,2025-11-01,DLR011,WH002,990J0M97542,200,200,Fulfilled,Normal
SOQ00000065,2025-01-29,DLR014,WH003,3E083297,5,10,Fulfilled,Normal
SOQ00000066,2025-11-18,DLR010,WH002,990J0M98516,0,0,Not Needed,Medium
SOQ00000067,2025-09-28,DLR004,WH001,38265204,0,0,Not Needed,Normal
