Part_Number,Description,Inventory_Level,Category_Group,Unit_Of_Measurement,MRP_Base,Critical_Flag,Reorder_Point,Min_Order_Qty
990J0M999H2-130,Microfibre Cloth Pack,Consumable,High-Velocity Workshop Consumables,Pack,575.0,0,20,200
99000M99178,Super Lubricant,Consumable,High-Velocity Workshop Consumables,ml,370.0,0,20,200
99000M99252,Super Adhesive (19 ml),Consumable,High-Velocity Workshop Consumables,ml,111.0,0,20,200
990J0M999H2-360,Clear View Washer Fluid,Consumable,High-Velocity Workshop Consumables,ml,479.0,0,20,200
16510M68K20,Engine Oil Filter,PM,Periodic Maintenance Kits,Unit,250.0,1,5,40
13780M72R00,Air Filter Element,PM,Periodic Maintenance Kits,Unit,420.0,1,5,40
990J0M56RS0-010,Cabin Air Filter PM2.5,PM,Periodic Maintenance Kits,Unit,650.0,1,5,40
11200M81PG0,Block Assy Cylinder,Macro,Macro-Components,Unit,150000.0,1,1,5
95110M53M00,AC Compressor Bracket,Mid,Mid-Level Components,Unit,3500.0,0,2,20
990J0M15805,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,gm,466.75,0,20,200
99000M76830,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,Piece,1120.12,0,20,200
990J0M37204,Steering Cover,Consumable,High-Velocity Workshop Consumables,ml,2166.78,0,20,200
99000M44141,Super Lubricant,Consumable,High-Velocity Workshop Consumables,ml,61.26,0,20,200
990J0M00779,Super Adhesive,Consumable,High-Velocity Workshop Consumables,L,2347.0,0,20,200
99000M67979,Super Cleaner,Consumable,High-Velocity Workshop Consumables,L,466.68,0,20,200
990J0M53717,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,Pack,1316.64,0,20,200
99000M93026,Body Wax Top,Consumable,High-Velocity Workshop Consumables,Unit,1316.69,0,20,200
990J0M84488,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Pack,126.2,0,20,200
99000M02757,Car Primer,Consumable,High-Velocity Workshop Consumables,Piece,1145.61,0,20,200
990J0M84664,Tyre Shine,Consumable,High-Velocity Workshop Consumables,Set,507.19,0,20,200
99000M56896,Rubber Care,Consumable,High-Velocity Workshop Consumables,L,1485.11,0,20,200
990J0M11404,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,gm,1522.79,0,20,200
99000M96286,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,Unit,171.98,0,20,200
990J0M10637,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,Unit,2414.42,0,20,200
99000M73979,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,Pack,768.49,0,20,200
990J0M68158,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,Pack,1713.74,0,20,200
99000M23493,Steering Cover,Consumable,High-Velocity Workshop Consumables,Piece,1528.89,0,20,200
990J0M17169,Super Lubricant,Consumable,High-Velocity Workshop Consumables,Piece,441.68,0,20,200
99000M35930,Super Adhesive,Consumable,High-Velocity Workshop Consumables,L,463.77,0,20,200
990J0M89485,Super Cleaner,Consumable,High-Velocity Workshop Consumables,Pack,1068.64,0,20,200
99000M78963,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,L,470.29,0,20,200
990J0M45768,Body Wax Top,Consumable,High-Velocity Workshop Consumables,Pack,1940.08,0,20,200
99000M65707,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,Pack,2238.12,0,20,200
990J0M32616,Car Primer,Consumable,High-Velocity Workshop Consumables,Piece,230.35,0,20,200
99000M91397,Tyre Shine,Consumable,High-Velocity Workshop Consumables,Unit,2403.32,0,20,200
990J0M89822,Rubber Care,Consumable,High-Velocity Workshop Consumables,gm,685.66,0,20,200
99000M09278,Foam Wash Liquid,Consumable,High-Velocity Workshop Consumables,Pack,2413.49,0,20,200
990J0M39109,Upholstery Cleaner,Consumable,High-Velocity Workshop Consumables,L,697.24,0,20,200
99000M38054,RTV Gasket Maker,Consumable,High-Velocity Workshop Consumables,Piece,421.51,0,20,200
990J0M48994,Microfibre Cloth,Consumable,High-Velocity Workshop Consumables,Piece,1064.27,0,20,200
99000M62602,Seat Protection Cover,Consumable,High-Velocity Workshop Consumables,L,740.79,0,20,200
990J0M48200,Steering Cover,Consumable,High-Velocity Workshop Consumables,ml,505.12,0,20,200
99000M33169,Super Lubricant,Consumable,High-Velocity Workshop Consumables,ml,1977.54,0,20,200
990J0M12676,Super Adhesive,Consumable,High-Velocity Workshop Consumables,gm,2316.49,0,20,200
99000M64515,Super Cleaner,Consumable,High-Velocity Workshop Consumables,Unit,2288.25,0,20,200
990J0M08402,Body G3 Advance Liquid,Consumable,High-Velocity Workshop Consumables,L,833.94,0,20,200
99000M89145,Body Wax Top,Consumable,High-Velocity Workshop Consumables,Piece,784.35,0,20,200
990J0M79585,Windshield Washer Fluid,Consumable,High-Velocity Workshop Consumables,gm,1826.72,0,20,200
99000M63345,Car Primer,Consumable,High-Velocity Workshop Consumables,Set,2219.16,0,20,200
990J0M70602,Tyre Shine,Consumable,High-Velocity Workshop Consumables,ml,307.79,0,20,200
99000M79319,Rubber Care,Consumable,High-Velocity Workshop Consumables,ml,1904.35,0,20,200
