Job_Card_Number,Date_In,Dealer_ID,Chassis_Number,Customer_ID,Service_Type,Odometer_Reading,Visit_Reason
JC00000001,2025-03-08,DLR010,VIN0005461,CUST005952,Accident Repair,57693,Routine
JC00000002,2025-07-24,DLR002,VIN0000358,CUST021255,Accident Repair,17711,Routine
JC00000003,2025-07-29,DLR026,VIN0004538,CUST020195,General Repair,2831,Campaign
JC00000004,2025-11-09,DLR026,VIN0013721,CUST012299,General Repair,56915,Routine
JC00000005,2025-11-08,DLR030,VIN0021946,CUST012774,Inspection,24885,Routine
JC00000006,2025-09-22,DLR018,VIN0005018,CUST016260,Accident Repair,33720,Routine
JC00000007,2025-12-15,DLR023,VIN0008167,CUST012677,Periodic Service,117704,Routine
JC00000008,2025-04-17,DLR007,VIN0006724,CUST019158,Accident Repair,65773,Routine
JC00000009,2025-09-02,DLR001,VIN0007769,CUST019725,General Repair,66559,Routine
JC00000010,2025-01-17,DLR021,VIN0005140,CUST002113,General Repair,28940,Routine
JC00000011,2025-07-30,DLR026,VIN0008799,CUST015035,Accident Repair,105605,Routine
JC00000012,2025-03-09,DLR030,VIN0012129,CUST018403,Inspection,2723,Routine
JC00000013,2025-02-01,DLR017,VIN0021838,CUST016223,Inspection,22428,Routine
JC00000014,2025-12-06,DLR001,VIN0019058,CUST019541,Accident Repair,88849,Routine
JC00000015,2025-12-05,DLR007,VIN0023509,CUST015318,Inspection,38802,Routine
JC00000016,2025-07-16,DLR007,VIN0003386,CUST015066,Accident Repair,86975,Routine
JC00000017,2025-05-25,DLR023,VIN0012415,CUST010111,Accident Repair,56434,Routine
JC00000018,2025-07-06,DLR025,VIN0012206,CUST017555,Inspection,108230,Routine
JC00000019,2025-02-22,DLR021,VIN0013127,CUST010918,Inspection,95844,Routine
JC00000020,2025-05-05,DLR010,VIN0011678,CUST013790,Periodic Service,68310,Routine
JC00000021,2025-02-26,DLR009,VIN0007909,CUST012138,Accident Repair,88362,Routine
JC00000022,2025-12-14,DLR022,VIN0010028,CUST006715,Accident Repair,44601,Routine
JC00000023,2025-11-03,DLR020,VIN0022986,CUST022634,Accident Repair,96776,Routine
JC00000024,2025-10-09,DLR018,VIN0001570,CUST005082,Accident Repair,3243,Routine
JC00000025,2025-06-17,DLR027,VIN0016929,CUST005727,Accident Repair,4074,Routine
JC00000026,2025-08-02,DLR026,VIN0008595,CUST000705,Accident Repair,62757,Routine
JC00000027,2025-12-14,DLR008,VIN0013171,CUST018152,General Repair,72649,Routine
JC00000028,2025-07-03,DLR003,VIN0017569,CUST003534,General Repair,60990,Routine
JC00000029,2025-02-05,DLR010,VIN0024777,CUST008788,Accident Repair,108651,Routine
JC00000030,2025-03-27,DLR027,VIN0024816,CUST020901,General Repair,103712,Routine
JC00000031,2025-05-07,DLR024,VIN0019271,CUST018616,Inspection,41183,Routine
JC00000032,2025-02-17,DLR012,VIN0019174,CUST003914,Inspection,94162,Routine
JC00000033,2025-03-11,DLR006,VIN0002912,CUST014936,General Repair,51187,Routine
JC00000034,2025-10-24,DLR006,VIN0000780,CUST000057,General Repair,7800,Routine
JC00000035,2025-07-26,DLR008,VIN0008983,CUST018098,General Repair,37687,Routine
JC00000036,2025-05-19,DLR010,VIN0015714,CUST019915,General Repair,29948,Routine
JC00000037,2025-03-23,DLR004,VIN0020933,CUST001484,Accident Repair,4243,Routine
JC00000038,2025-03-05,DLR020,VIN0019739,CUST000579,General Repair,37604,Routine
JC00000039,2025-08-08,DLR029,VIN0016995,CUST016061,Periodic Service,7314,Routine
JC00000040,2025-03-09,DLR011,VIN0006098,CUST007489,Periodic Service,100371,Routine
JC00000041,2025-10-04,DLR019,VIN0009634,CUST004073,Inspection,71916,Routine
JC00000042,2025-07-16,DLR009,VIN0006441,CUST023439,General Repair,9424,Routine
JC00000043,2025-11-09,DLR027,VIN0016097,CUST023883,Accident Repair,39674,Routine
JC00000044,2025-04-12,DLR015,VIN0004450,CUST009218,Inspection,56560,Routine
JC00000045,2025-09-08,DLR018,VIN0008147,CUST002080,General Repair,26690,Routine
JC00000046,2025-04-21,DLR023,VIN0010379,CUST014457,Periodic Service,117199,Campaign
JC00000047,2025-07-26,DLR010,VIN0024736,CUST001851,General Repair,9087,Routine
JC00000048,2025-04-24,DLR016,VIN0010606,CUST014746,Inspection,40741,Routine
JC00000049,2025-05-31,DLR023,VIN0004203,CUST023655,Inspection,4777,Routine
JC00000050,2025-07-18,DLR030,VIN0013342,CUST003781,General Repair,4920,Routine
JC00000051,2025-08-02,DLR024,VIN0022517,CUST003999,General Repair,96907,Routine
JC00000052,2025-04-12,DLR027,VIN0023988,CUST003027,General Repair,43277,Routine
JC00000053,2025-03-25,DLR017,VIN0024782,CUST020807,Accident Repair,42584,Routine
JC00000054,2025-09-22,DLR028,VIN0013717,CUST011853,General Repair,68018,Routine
JC00000055,2025-09-01,DLR026,VIN0017709,CUST017577,General Repair,97591,Routine
JC00000056,2025-07-25,DLR023,VIN0017106,CUST019983,Periodic Service,59517,Routine
JC00000057,2025-03-26,DLR028,VIN0017559,CUST010375,Accident Repair,92267,Campaign
