Line_Item_ID,Job_Card_Number,Part_Number,Description,Inventory_Level,Quantity_Consumed,Unit_Price,Billed_Amount,Tax_Code
LI000000001,JC00000001,95175641,Relay Module,Mid,1.0,26980.23,26980.23,GST5
LI000000002,JC00000001,99000M79319,Rubber Care,Consumable,1.0,1904.35,1904.35,GST18
LI000000003,JC00000002,4869472,Lock Pin,Micro,4.0,1312.1,5248.4,GST18
LI000000004,JC00000003,42184137,AC Compressor Bracket,Mid,1.0,25921.32,25921.32,GST5
LI000000005,JC00000003,990J0M38766,Body Wax Top,Consumable,1.0,1425.62,1425.62,GST12
LI000000006,JC00000004,137429670,Cabin Air Filter,PM,1.0,2542.61,2542.61,GST5
LI000000007,JC00000004,3862276,Spring Clip,Micro,4.0,317.98,1271.92,GST18
LI000000008,JC00000005,5M083379,Body Shell in White,Macro,2.0,109279.16,218558.32,GST18
LI000000009,JC00000005,17693310,Ignition Coil,Mid,1.0,22546.54,22546.54,GST5
LI000000010,JC00000006,4861094,Spacer Shim,Micro,4.0,1042.45,4169.8,GST12
LI000000011,JC00000006,0927359,Tie Rod Lock Washer,Micro,1.0,598.94,598.94,GST5
LI000000012,JC00000007,137346584,Cabin Air Filter,PM,1.0,268.56,268.56,GST5
LI000000013,JC00000008,16548000,Coolant,PM,1.0,3007.22,3007.22,GST18
LI000000014,JC00000008,165756701,Engine Oil Filter,PM,1.0,4406.74,4406.74,GST18
LI000000015,JC00000009,3E086329,Gearbox,Macro,1.0,196566.34,196566.34,GST12
LI000000016,JC00000010,990J0M33837,Super Lubricant,Consumable,0.5,201.68,100.84,GST18
LI000000017,JC00000010,99000M43494,Microfibre Cloth,Consumable,1.0,2288.01,2288.01,GST5
LI000000018,JC00000010,165698260,Air Filter Element,PM,1.0,3783.66,3783.66,GST18
LI000000019,JC00000011,990J0M52880,Coolant,PM,1.0,3767.33,3767.33,GST12
LI000000020,JC00000011,99129541,Fuel Filter Kit,PM,1.0,1911.49,1911.49,GST18
LI000000021,JC00000011,990J0M80229,Rubber Care,Consumable,1.0,1006.56,1006.56,GST12
LI000000022,JC00000012,5M013712,Powertrain Assembly,Macro,1.0,142954.94,142954.94,GST18
LI000000023,JC00000012,38266985,Thermostat,Mid,1.0,13222.74,13222.74,GST12
LI000000024,JC00000013,3867166,Banjo Connector Screw,Micro,2.0,435.45,870.9,GST5
LI000000025,JC00000013,5M052668,Powertrain Assembly,Macro,1.0,41391.52,41391.52,GST5
LI000000026,JC00000014,3837777,Hose Clamp,Micro,1.0,66.1,66.1,GST12
LI000000027,JC00000015,990J0M08712,Car Primer,Consumable,0.5,44.04,22.02,GST5
LI000000028,JC00000016,99000M53340,RTV Gasket Maker,Consumable,2.0,610.3,1220.6,GST5
LI000000029,JC00000017,99000M61097,Seat Protection Cover,Consumable,1.0,1015.55,1015.55,GST5
LI000000030,JC00000018,990J0M59285,Windshield Washer Fluid,Consumable,0.25,1437.68,359.42,GST12
LI000000031,JC00000018,0929017,Banjo Connector Screw,Micro,1.0,834.45,834.45,GST12
LI000000032,JC00000019,99000M64905,Super Lubricant,Consumable,0.5,1437.86,718.93,GST18
LI000000033,JC00000019,4864419,Lock Pin,Micro,1.0,174.77,174.77,GST18
LI000000034,JC00000020,4863708,Hose Clamp,Micro,2.0,86.87,173.74,GST18
LI000000035,JC00000020,99000M67979,Super Cleaner,Consumable,1.0,466.68,466.68,GST12
LI000000036,JC00000020,13760072,Fuel Filter Kit,PM,1.0,2557.07,2557.07,GST12
LI000000037,JC00000021,99000M44074,Body Wax Top,Consumable,1.0,1276.95,1276.95,GST18
LI000000038,JC00000022,99000M16906,Super Adhesive,Consumable,2.0,633.1,1266.2,GST18
LI000000039,JC00000023,17694878,Ignition Coil,Mid,1.0,5696.92,5696.92,GST18
LI000000040,JC00000024,990J0M66852,Rubber Care,Consumable,3.0,11.3,33.9,GST18
LI000000041,JC00000024,0924417,Banjo Connector Screw,Micro,1.0,283.55,283.55,GST18
LI000000042,JC00000025,990J0M84674,Rubber Care,Consumable,1.0,299.02,299.02,GST18
LI000000043,JC00000025,34253408,ECM Harness,Mid,1.0,39473.17,39473.17,GST18
LI000000044,JC00000025,99000M68395,Super Lubricant,Consumable,0.5,942.79,471.4,GST18
LI000000045,JC00000026,165261633,Air Filter Element,PM,1.0,5193.73,5193.73,GST5
LI000000046,JC00000027,990J0M48994,Microfibre Cloth,Consumable,1.0,1064.27,1064.27,GST18
LI000000047,JC00000028,16516783,Engine Oil Filter,PM,1.0,245.44,245.44,GST18
LI000000048,JC00000029,99000M71920,Steering Cover,Consumable,1.0,1354.2,1354.2,GST18
LI000000049,JC00000029,0923219,Bolt Kit,Micro,4.0,486.92,1947.68,GST12
LI000000050,JC00000030,165166358,Engine Oil 5W30,PM,1.0,127.36,127.36,GST18
