Chassis_Number,Engine_Number,Customer_ID,Model_Code,Variant_ID,Fuel_Type,Transmission_Type,Model_Year
VIN0000001,ENG0000001,CUST016688,Dzire,AT,Petrol,MT,2022
VIN0000002,ENG0000002,CUST009862,Celerio,ZXI,Petrol,AGS,2022
VIN0000003,ENG0000003,CUST012276,Baleno,VXI,Petrol,MT,2023
VIN0000004,ENG0000004,CUST019155,Brezza,AT,Petrol,MT,2022
VIN0000005,ENG0000005,CUST020518,Swift,ZXI,Petrol,AGS,2025
VIN0000006,ENG0000006,CUST000157,WagonR,MT,Diesel,MT,2024
VIN0000007,ENG0000007,CUST017574,Eeco,ZXI,Petrol,MT,2019
VIN0000008,ENG0000008,CUST016425,Dzire,VXI,Petrol,AGS,2021
VIN0000009,ENG0000009,CUST022629,XL6,AT,CNG,MT,2023
VIN0000010,ENG0000010,CUST006342,Alto,ZXI,Petrol,MT,2022
VIN0000011,ENG0000011,CUST015390,Alto,LXI,Petrol,CVT,2019
VIN0000012,ENG0000012,CUST009739,Swift,AT,Petrol,AGS,2025
VIN0000013,ENG0000013,CUST018150,Dzire,ZXI,CNG,MT,2019
VIN0000014,ENG0000014,CUST004241,Ignis,Sigma,Petrol,MT,2022
VIN0000015,ENG0000015,CUST007180,WagonR,ZXI,Diesel,MT,2025
VIN0000016,ENG0000016,CUST015110,Baleno,VXI,Petrol,MT,2021
VIN0000017,ENG0000017,CUST019813,Eeco,AT,Hybrid,MT,2022
VIN0000018,ENG0000018,CUST019056,WagonR,LXI,CNG,AGS,2021
VIN0000019,ENG0000019,CUST005335,XL6,MT,Petrol,MT,2021
VIN0000020,ENG0000020,CUST015374,Brezza,LXI,Petrol,CVT,2022
VIN0000021,ENG0000021,CUST010781,Celerio,VXI,Petrol,MT,2025
VIN0000022,ENG0000022,CUST015951,XL6,Sigma,Petrol,MT,2025
VIN0000023,ENG0000023,CUST003103,Ignis,ZXI,Hybrid,MT,2019
VIN0000024,ENG0000024,CUST014064,Alto,Delta,Diesel,MT,2023
VIN0000025,ENG0000025,CUST018384,Dzire,AGS,Petrol,MT,2018
VIN0000026,ENG0000026,CUST002864,Brezza,Delta,Petrol,MT,2018
VIN0000027,ENG0000027,CUST006189,XL6,VXI,Petrol,MT,2024
VIN0000028,ENG0000028,CUST003407,Fronx,AGS,Hybrid,MT,2023
VIN0000029,ENG0000029,CUST008456,Dzire,AT,CNG,MT,2025
